machine,station_id,station_type,day,cause,trigger_sensor,stop_reason_detail,start,end,minutes
M1,ST1,Robotics,2025-01-01,Mechanical,vibration,,2025-01-01 13:40:00,2025-01-01 13:52:00,13
M1,ST1,Robotics,2025-01-01,Mechanical,air_pressure,,2025-01-01 15:03:00,2025-01-01 15:13:00,11
M1,ST1,Robotics,2025-01-01,Mechanical,vibration,,2025-01-01 21:22:00,2025-01-01 21:47:00,26
M1,ST1,Robotics,2025-01-02,Mechanical,air_pressure,,2025-01-02 01:49:00,2025-01-02 01:54:00,6
M1,ST1,Robotics,2025-01-02,Mechanical,vibration,,2025-01-02 06:14:00,2025-01-02 06:50:00,37
M1,ST1,Robotics,2025-01-02,Mechanical,air_pressure,,2025-01-02 15:57:00,2025-01-02 16:34:00,38
M1,ST1,Robotics,2025-01-02,Mechanical,vibration,,2025-01-02 18:12:00,2025-01-02 18:31:00,20
M1,ST1,Robotics,2025-01-03,Mechanical,vibration,,2025-01-03 02:55:00,2025-01-03 03:33:00,39
M1,ST1,Robotics,2025-01-03,Mechanical,air_pressure,,2025-01-03 08:37:00,2025-01-03 09:12:00,36
M1,ST1,Robotics,2025-01-03,Mechanical,vibration,,2025-01-03 11:07:00,2025-01-03 11:32:00,26
M1,ST1,Robotics,2025-01-04,Mechanical,air_pressure,,2025-01-04 01:37:00,2025-01-04 01:51:00,15
M1,ST1,Robotics,2025-01-04,Mechanical,vibration,,2025-01-04 06:33:00,2025-01-04 06:44:00,12
M1,ST1,Robotics,2025-01-04,Mechanical,air_pressure,,2025-01-04 13:25:00,2025-01-04 14:06:00,42
M1,ST1,Robotics,2025-01-04,Mechanical,vibration,,2025-01-04 15:51:00,2025-01-04 15:59:00,9
M1,ST1,Robotics,2025-01-05,Mechanical,vibration,,2025-01-05 02:09:00,2025-01-05 02:38:00,30
M1,ST1,Robotics,2025-01-05,Mechanical,vibration,,2025-01-05 12:16:00,2025-01-05 12:29:00,14
M1,ST1,Robotics,2025-01-05,Mechanical,vibration,,2025-01-05 22:18:00,2025-01-05 22:25:00,8
M1,ST1,Robotics,2025-01-05,Mechanical,air_pressure,,2025-01-05 23:47:00,2025-01-06 00:04:00,18
M1,ST1,Robotics,2025-01-06,Mechanical,vibration,,2025-01-06 10:12:00,2025-01-06 10:49:00,38
M1,ST1,Robotics,2025-01-06,Mechanical,air_pressure,,2025-01-06 11:25:00,2025-01-06 12:25:00,61
M1,ST1,Robotics,2025-01-06,Mechanical,vibration,,2025-01-06 20:37:00,2025-01-06 20:53:00,17
M1,ST1,Robotics,2025-01-07,Mechanical,air_pressure,,2025-01-07 02:52:00,2025-01-07 03:15:00,24
M1,ST1,Robotics,2025-01-07,Mechanical,vibration,,2025-01-07 09:00:00,2025-01-07 09:19:00,20
M1,ST1,Robotics,2025-01-07,Mechanical,vibration,,2025-01-07 19:06:00,2025-01-07 19:38:00,33
M1,ST1,Robotics,2025-01-07,Mechanical,air_pressure,,2025-01-07 20:18:00,2025-01-07 20:30:00,13
M1,ST1,Robotics,2025-01-08,Mechanical,vibration,,2025-01-08 05:45:00,2025-01-08 06:14:00,30
M1,ST1,Robotics,2025-01-08,Mechanical,air_pressure,,2025-01-08 12:39:00,2025-01-08 12:47:00,9
M1,ST1,Robotics,2025-01-08,Mechanical,vibration,,2025-01-08 15:54:00,2025-01-08 16:30:00,37
M1,ST1,Robotics,2025-01-08,Mechanical,air_pressure,,2025-01-08 21:37:00,2025-01-08 22:14:00,38
M1,ST1,Robotics,2025-01-09,Mechanical,vibration,,2025-01-09 00:41:00,2025-01-09 00:58:00,18
M1,ST1,Robotics,2025-01-09,Mechanical,vibration,,2025-01-09 08:05:00,2025-01-09 08:34:00,30
M1,ST1,Robotics,2025-01-09,Mechanical,air_pressure,,2025-01-09 13:49:00,2025-01-09 14:14:00,26
M1,ST1,Robotics,2025-01-09,Mechanical,vibration,,2025-01-09 15:46:00,2025-01-09 16:10:00,25
M1,ST1,Robotics,2025-01-10,Mechanical,vibration,,2025-01-10 02:57:00,2025-01-10 03:21:00,25
M1,ST1,Robotics,2025-01-10,Mechanical,vibration,,2025-01-10 10:07:00,2025-01-10 10:24:00,18
M1,ST1,Robotics,2025-01-10,Mechanical,air_pressure,,2025-01-10 13:26:00,2025-01-10 13:42:00,17
M1,ST1,Robotics,2025-01-10,Mechanical,vibration,,2025-01-10 19:43:00,2025-01-10 20:03:00,21
M1,ST1,Robotics,2025-01-11,Mechanical,air_pressure,,2025-01-11 02:26:00,2025-01-11 02:44:00,19
M1,ST1,Robotics,2025-01-11,Mechanical,vibration,,2025-01-11 05:19:00,2025-01-11 05:57:00,39
M1,ST1,Robotics,2025-01-11,Mechanical,air_pressure,,2025-01-11 13:43:00,2025-01-11 14:16:00,34
M1,ST1,Robotics,2025-01-12,Mechanical,vibration,,2025-01-12 00:00:00,2025-01-12 00:11:00,12
M1,ST1,Robotics,2025-01-12,Mechanical,air_pressure,,2025-01-12 01:09:00,2025-01-12 01:23:00,15
M1,ST1,Robotics,2025-01-12,Mechanical,vibration,,2025-01-12 08:53:00,2025-01-12 09:02:00,10
M1,ST1,Robotics,2025-01-12,Mechanical,air_pressure,,2025-01-12 13:21:00,2025-01-12 13:59:00,39
M1,ST1,Robotics,2025-01-13,Mechanical,vibration,,2025-01-13 01:39:00,2025-01-13 02:07:00,29
M1,ST1,Robotics,2025-01-13,Mechanical,air_pressure,,2025-01-13 06:00:00,2025-01-13 06:12:00,13
