machine,station_id,day,cause,minutes
M1,ST1,2025-01-01,Blocked,368
M1,ST1,2025-01-01,Starved,74
M1,ST1,2025-01-01,Mechanical,50
M1,ST1,2025-01-01,Quality,32
M1,ST1,2025-01-01,Electrical,30
M1,ST1,2025-01-02,Blocked,697
M1,ST1,2025-01-02,Mechanical,101
M1,ST1,2025-01-02,Electrical,92
M1,ST1,2025-01-02,Starved,54
M1,ST1,2025-01-03,Blocked,531
M1,ST1,2025-01-03,Electrical,145
M1,ST1,2025-01-03,Mechanical,101
M1,ST1,2025-01-03,Starved,13
M1,ST1,2025-01-04,Blocked,626
M1,ST1,2025-01-04,Electrical,79
M1,ST1,2025-01-04,Mechanical,78
M1,ST1,2025-01-04,Starved,26
M1,ST1,2025-01-05,Blocked,592
M1,ST1,2025-01-05,Electrical,87
M1,ST1,2025-01-05,Mechanical,70
M1,ST1,2025-01-05,Starved,46
M1,ST1,2025-01-05,Changeover,13
M1,ST1,2025-01-06,Blocked,456
M1,ST1,2025-01-06,Electrical,138
M1,ST1,2025-01-06,Mechanical,116
M1,ST1,2025-01-06,Starved,74
M1,ST1,2025-01-06,Quality,47
M1,ST1,2025-01-07,Blocked,636
M1,ST1,2025-01-07,Mechanical,90
M1,ST1,2025-01-07,Electrical,74
M1,ST1,2025-01-07,Starved,71
M1,ST1,2025-01-07,Quality,13
M1,ST1,2025-01-08,Blocked,585
M1,ST1,2025-01-08,Electrical,114
M1,ST1,2025-01-08,Mechanical,114
M1,ST1,2025-01-08,Starved,80
M1,ST1,2025-01-08,Changeover,19
M1,ST1,2025-01-09,Blocked,600
M1,ST1,2025-01-09,Electrical,115
M1,ST1,2025-01-09,Mechanical,99
M1,ST1,2025-01-09,Starved,66
M1,ST1,2025-01-09,Changeover,12
M1,ST1,2025-01-10,Blocked,520
M1,ST1,2025-01-10,Electrical,148
M1,ST1,2025-01-10,Mechanical,81
M1,ST1,2025-01-10,Changeover,53
M1,ST1,2025-01-10,Quality,40
M1,ST1,2025-01-10,Starved,5
M1,ST1,2025-01-11,Blocked,474
M1,ST1,2025-01-11,Electrical,114
M1,ST1,2025-01-11,Mechanical,92
M1,ST1,2025-01-11,Changeover,61
M1,ST1,2025-01-11,Starved,55
M1,ST1,2025-01-11,Quality,4
M1,ST1,2025-01-12,Blocked,499
M1,ST1,2025-01-12,Electrical,120
M1,ST1,2025-01-12,Mechanical,76
M1,ST1,2025-01-12,Starved,40
M1,ST1,2025-01-12,Changeover,14
M1,ST1,2025-01-13,Blocked,531
M1,ST1,2025-01-13,Mechanical,124
