machine,station_id,station_type,day,planned_min,running_min,total_units,good_units,availability,performance,quality,oee
M1,ST1,Robotics,2025-01-01,1080,544,3347,3336,0.5037037037037037,1.0,0.9967134747535106,0.5020482687647312
M1,ST2,CNC,2025-01-01,1080,537,3339,3328,0.49722222222222223,1.0,0.9967056004791854,0.495584173571595
M1,ST3,Robotics,2025-01-01,1080,542,3346,3330,0.5018518518518519,1.0,0.9952181709503886,0.4994520820880654
M1,ST4,Assembly,2025-01-01,1080,545,3353,3342,0.5046296296296297,1.0,0.9967193558007754,0.5029741193624283
M1,ST5,Welding,2025-01-01,1080,546,3360,3348,0.5055555555555555,1.0,0.9964285714285714,0.50375
M1,ST6,Cooling_System,2025-01-01,1080,549,3367,3350,0.5083333333333333,1.0,0.9949509949509949,0.5057667557667557
M1,ST7,Inspection,2025-01-01,1080,550,3374,3361,0.5092592592592593,1.0,0.9961470065204505,0.5072970866539331
M1,ST8,Packaging,2025-01-01,1080,553,3381,3366,0.5120370370370371,1.0,0.9955634427684117,0.5097653554175293
M1,ST1,Robotics,2025-01-02,1440,487,2901,2896,0.33819444444444446,0.9928131416837782,0.9982764563943468,0.33518518518518525
M1,ST2,CNC,2025-01-02,1440,490,2901,2894,0.3402777777777778,0.986734693877551,0.9975870389520854,0.33495370370370364
M1,ST3,Robotics,2025-01-02,1440,494,2886,2876,0.34305555555555556,0.9736842105263158,0.9965349965349966,0.3328703703703704
M1,ST4,Assembly,2025-01-02,1440,500,2871,2861,0.3472222222222222,0.957,0.9965168930686172,0.33113425925925927
M1,ST5,Welding,2025-01-02,1440,505,2856,2838,0.3506944444444444,0.9425742574257425,0.9936974789915967,0.32847222222222217
M1,ST6,Cooling_System,2025-01-02,1440,509,2841,2834,0.35347222222222224,0.9302554027504911,0.9975360788454769,0.3280092592592592
M1,ST7,Inspection,2025-01-02,1440,508,2826,2811,0.3527777777777778,0.9271653543307087,0.994692144373673,0.32534722222222223
M1,ST8,Packaging,2025-01-02,1440,502,2826,2814,0.3486111111111111,0.9382470119521913,0.9957537154989384,0.32569444444444445
M1,ST1,Robotics,2025-01-03,1440,664,3908,3895,0.46111111111111114,0.9809236947791165,0.9966734902763562,0.45081018518518523
M1,ST2,CNC,2025-01-03,1440,658,3908,3893,0.45694444444444443,0.9898682877406282,0.9961617195496417,0.45057870370370373
M1,ST3,Robotics,2025-01-03,1440,661,3908,3899,0.45902777777777776,0.9853756933938477,0.9976970317297851,0.4512731481481481
M1,ST4,Assembly,2025-01-03,1440,660,3908,3887,0.4583333333333333,0.9868686868686869,0.9946264073694985,0.4498842592592593
M1,ST5,Welding,2025-01-03,1440,658,3908,3897,0.45694444444444443,0.9898682877406282,0.9971852610030706,0.4510416666666667
M1,ST6,Cooling_System,2025-01-03,1440,663,3923,3909,0.46041666666666664,0.9861739567621921,0.9964313025745603,0.45243055555555556
M1,ST7,Inspection,2025-01-03,1440,652,3837,3818,0.4527777777777778,0.9808282208588958,0.9950482147511076,0.44189814814814815
M1,ST8,Packaging,2025-01-03,1440,661,3923,3912,0.45902777777777776,0.9891578416540595,0.9971960234514402,0.4527777777777777
M1,ST1,Robotics,2025-01-04,1440,608,3464,3456,0.4222222222222222,0.9495614035087719,0.9976905311778291,0.4
M1,ST2,CNC,2025-01-04,1440,613,3472,3452,0.42569444444444443,0.9439912996193583,0.9942396313364056,0.3995370370370371
M1,ST3,Robotics,2025-01-04,1440,609,3478,3469,0.42291666666666666,0.9518336070060208,0.9974123059229443,0.40150462962962963
M1,ST4,Assembly,2025-01-04,1440,626,3493,3487,0.43472222222222223,0.929978700745474,0.998282278843401,0.403587962962963
M1,ST5,Welding,2025-01-04,1440,630,3504,3494,0.4375,0.926984126984127,0.9971461187214612,0.4043981481481482
M1,ST6,Cooling_System,2025-01-04,1440,627,3489,3482,0.4354166666666667,0.9274322169059012,0.9979936944683291,0.4030092592592593
M1,ST7,Inspection,2025-01-04,1440,602,3346,3331,0.41805555555555557,0.9263565891472868,0.9955170352659892,0.3855324074074074
M1,ST8,Packaging,2025-01-04,1440,624,3504,3496,0.43333333333333335,0.9358974358974359,0.997716894977169,0.4046296296296296
M1,ST1,Robotics,2025-01-05,1440,637,3452,3434,0.4423611111111111,0.9031920460491889,0.9947856315179606,0.3974537037037037
M1,ST2,CNC,2025-01-05,1440,637,3459,3446,0.4423611111111111,0.9050235478806907,0.9962416883492339,0.3988425925925926
M1,ST3,Robotics,2025-01-05,1440,640,3468,3453,0.4444444444444444,0.903125,0.995674740484429,0.39965277777777775
M1,ST4,Assembly,2025-01-05,1440,647,3468,3458,0.44930555555555557,0.893353941267388,0.9971164936562861,0.4002314814814815
M1,ST5,Welding,2025-01-05,1440,656,3472,3460,0.45555555555555555,0.8821138211382114,0.9965437788018433,0.40046296296296297
M1,ST6,Cooling_System,2025-01-05,1440,659,3487,3477,0.4576388888888889,0.8818917551846231,0.9971322053340981,0.40243055555555557
M1,ST7,Inspection,2025-01-05,1440,665,3487,3480,0.4618055555555556,0.8739348370927318,0.9979925437338687,0.4027777777777778
M1,ST8,Packaging,2025-01-05,1440,667,3487,3477,0.46319444444444446,0.8713143428285857,0.9971322053340981,0.40243055555555557
M1,ST1,Robotics,2025-01-06,1440,621,3669,3658,0.43125,0.9847020933977456,0.9970019078768056,0.42337962962962966
