machine,station_id,station_type,day,shift,planned_min,running_min,total_units,good_units,availability,performance,quality,oee
M1,ST1,Robotics,2025-01-01,A,480,292,1840,1832,0.6083333333333333,1.0,0.9956521739130435,0.6056884057971014
M1,ST2,CNC,2025-01-01,A,480,291,1845,1837,0.60625,1.0,0.9956639566395664,0.6036212737127371
M1,ST3,Robotics,2025-01-01,A,480,291,1842,1835,0.60625,1.0,0.996199782844734,0.60394611834962
M1,ST4,Assembly,2025-01-01,A,480,292,1839,1834,0.6083333333333333,1.0,0.9972811310494835,0.606679354721769
M1,ST5,Welding,2025-01-01,A,480,293,1831,1824,0.6104166666666667,1.0,0.9961769524849808,0.6080830147460404
M1,ST6,Cooling_System,2025-01-01,A,480,296,1823,1815,0.6166666666666667,1.0,0.9956116291826659,0.613960504662644
M1,ST7,Inspection,2025-01-01,A,480,292,1815,1811,0.6083333333333333,1.0,0.9977961432506887,0.6069926538108356
M1,ST8,Packaging,2025-01-01,A,480,290,1807,1798,0.6041666666666666,1.0,0.9950193691200886,0.6011575355100535
M1,ST1,Robotics,2025-01-01,B,480,205,1257,1255,0.4270833333333333,1.0,0.9984089101034208,0.4264038053566693
M1,ST2,CNC,2025-01-01,B,480,204,1259,1257,0.425,1.0,0.9984114376489277,0.42432486100079425
M1,ST3,Robotics,2025-01-01,B,480,210,1267,1260,0.4375,1.0,0.994475138121547,0.4350828729281768
M1,ST4,Assembly,2025-01-01,B,480,211,1262,1256,0.4395833333333333,0.9968404423380727,0.9952456418383518,0.4361111111111111
M1,ST5,Welding,2025-01-01,B,480,208,1262,1258,0.43333333333333335,1.0,0.9968304278922345,0.43195985208663495
M1,ST6,Cooling_System,2025-01-01,B,480,206,1262,1254,0.42916666666666664,1.0,0.993660855784469,0.4264461172741679
M1,ST7,Inspection,2025-01-01,B,480,209,1262,1257,0.4354166666666667,1.0,0.9960380348652932,0.4336915610142631
M1,ST8,Packaging,2025-01-01,B,480,211,1262,1257,0.4395833333333333,0.9968404423380727,0.9960380348652932,0.43645833333333334
M1,ST1,Robotics,2025-01-01,C,120,47,250,249,0.39166666666666666,0.8865248226950354,0.996,0.3458333333333333
M1,ST2,CNC,2025-01-01,C,120,42,235,234,0.35,0.9325396825396826,0.9957446808510638,0.325
M1,ST3,Robotics,2025-01-01,C,120,41,237,235,0.3416666666666667,0.9634146341463414,0.9915611814345991,0.3263888888888889
M1,ST4,Assembly,2025-01-01,C,120,42,252,252,0.35,1.0,1.0,0.35
M1,ST5,Welding,2025-01-01,C,120,45,267,266,0.375,0.9888888888888889,0.9962546816479401,0.36944444444444446
M1,ST6,Cooling_System,2025-01-01,C,120,47,282,281,0.39166666666666666,1.0,0.9964539007092199,0.3902777777777778
M1,ST7,Inspection,2025-01-01,C,120,49,297,293,0.4083333333333333,1.0,0.9865319865319865,0.4028338945005611
M1,ST8,Packaging,2025-01-01,C,120,52,312,311,0.43333333333333335,1.0,0.9967948717948718,0.43194444444444446
M1,ST1,Robotics,2025-01-02,A,480,106,607,606,0.22083333333333333,0.9544025157232704,0.9983525535420099,0.21041666666666664
M1,ST2,CNC,2025-01-02,A,480,105,609,607,0.21875,0.9666666666666667,0.9967159277504105,0.2107638888888889
M1,ST3,Robotics,2025-01-02,A,480,108,614,611,0.225,0.9475308641975309,0.995114006514658,0.21215277777777777
M1,ST4,Assembly,2025-01-02,A,480,112,619,616,0.23333333333333334,0.9211309523809523,0.9951534733441034,0.21388888888888888
M1,ST5,Welding,2025-01-02,A,480,113,623,618,0.23541666666666666,0.9188790560471977,0.9919743178170144,0.21458333333333332
