machine,station_id,hour,count,xbar,s,R
M1,ST1,2025-01-01 06:00:00,60,6.483333333333333,0.5039392842990978,1
M1,ST1,2025-01-01 07:00:00,23,6.391304347826087,0.8913284485317717,4
M1,ST1,2025-01-01 08:00:00,41,6.317073170731708,0.9858758641493335,6
M1,ST1,2025-01-01 09:00:00,43,6.4186046511627906,0.9815575120703122,6
M1,ST1,2025-01-01 10:00:00,24,6.166666666666667,1.2038585308576921,6
M1,ST1,2025-01-01 11:00:00,60,6.483333333333333,0.503939284299098,1
M1,ST1,2025-01-01 12:00:00,12,5.833333333333333,1.6422453217986943,5
M1,ST1,2025-01-01 13:00:00,29,5.586206896551724,0.682288239221013,2
M1,ST1,2025-01-01 14:00:00,4,5.75,1.8929694486000912,4
M1,ST1,2025-01-01 15:00:00,37,5.351351351351352,1.2956383286545203,6
M1,ST1,2025-01-01 16:00:00,2,4.5,0.7071067811865476,1
M1,ST1,2025-01-01 17:00:00,25,6.28,1.021436896402971,5
M1,ST1,2025-01-01 18:00:00,40,6.275,0.45220258677630265,1
M1,ST1,2025-01-01 19:00:00,49,6.387755102040816,0.9313146293146641,6
M1,ST1,2025-01-01 20:00:00,14,6.428571428571429,0.646206172658864,2
M1,ST1,2025-01-01 21:00:00,34,6.352941176470588,0.5439670746038949,2
M1,ST1,2025-01-01 22:00:00,22,5.7272727272727275,1.3159033899195378,6
M1,ST1,2025-01-01 23:00:00,25,4.96,0.5385164807134504,2
M1,ST1,2025-01-02 00:00:00,14,6.071428571428571,0.7300459115473718,2
M1,ST1,2025-01-02 01:00:00,12,5.5,1.7320508075688772,6
M1,ST1,2025-01-02 02:00:00,19,5.894736842105263,1.3701069237311885,6
M1,ST1,2025-01-02 03:00:00,33,5.787878787878788,0.9603897567386298,5
M1,ST1,2025-01-02 04:00:00,34,6.470588235294118,0.5066403971048989,1
M1,ST1,2025-01-02 05:00:00,38,6.342105263157895,0.7453029780973237,4
M1,ST1,2025-01-02 06:00:00,4,4.25,2.6299556396765835,5
M1,ST1,2025-01-02 07:00:00,9,6.333333333333333,0.5,1
M1,ST1,2025-01-02 08:00:00,8,5.875,2.03100960115899,6
M1,ST1,2025-01-02 09:00:00,35,6.285714285714286,0.7100716024967265,3
M1,ST1,2025-01-02 10:00:00,7,5.0,0.5773502691896258,2
M1,ST1,2025-01-02 11:00:00,6,6.0,0.6324555320336759,2
M1,ST1,2025-01-02 12:00:00,4,4.75,2.5,5
M1,ST1,2025-01-02 13:00:00,33,5.333333333333333,0.9895285072531597,4
M1,ST1,2025-01-02 14:00:00,22,5.5,1.300183137283433,6
M1,ST1,2025-01-02 15:00:00,40,6.475,0.5541220822628187,2
M1,ST1,2025-01-02 16:00:00,10,6.3,0.6749485577105528,2
M1,ST1,2025-01-02 17:00:00,44,6.454545454545454,0.6631336970863542,3
M1,ST1,2025-01-02 18:00:00,12,6.416666666666667,0.5149286505444373,1
M1,ST1,2025-01-02 19:00:00,31,5.354838709677419,1.1415891583453361,5
M1,ST1,2025-01-02 20:00:00,33,5.575757575757576,1.1188806636071338,6
M1,ST1,2025-01-02 22:00:00,26,6.1923076923076925,0.63367062543443,2
M1,ST1,2025-01-02 23:00:00,13,4.923076923076923,0.7595545253127501,3
M1,ST1,2025-01-03 00:00:00,34,6.0588235294117645,1.1531557878035132,6
M1,ST1,2025-01-03 01:00:00,27,6.296296296296297,0.8234456132997965,4
M1,ST1,2025-01-03 02:00:00,14,5.214285714285714,1.1883130530663677,5
M1,ST1,2025-01-03 03:00:00,26,6.538461538461538,0.5083911274417939,1
M1,ST1,2025-01-03 04:00:00,24,5.708333333333333,1.3666578295932037,6
M1,ST1,2025-01-03 05:00:00,20,4.95,0.6863327411532597,2
M1,ST1,2025-01-03 06:00:00,58,6.396551724137931,0.5278109434395226,2
M1,ST1,2025-01-03 07:00:00,40,5.65,0.8638019716079877,3
M1,ST1,2025-01-03 08:00:00,21,5.095238095238095,0.8309489698388169,3
M1,ST1,2025-01-03 09:00:00,31,6.354838709677419,1.112006807436423,6
M1,ST1,2025-01-03 10:00:00,28,5.321428571428571,1.4156158567804527,6
M1,ST1,2025-01-03 11:00:00,18,6.055555555555555,0.6391374907061417,2
M1,ST1,2025-01-03 12:00:00,39,6.153846153846154,0.8747469269650611,4
M1,ST1,2025-01-03 13:00:00,31,6.064516129032258,1.12355044007728,6
M1,ST1,2025-01-03 14:00:00,34,6.352941176470588,0.773905989951895,4
M1,ST1,2025-01-03 15:00:00,31,5.645161290322581,0.9848311901632072,3
M1,ST1,2025-01-03 16:00:00,15,4.666666666666667,1.046536236944567,4
M1,ST1,2025-01-03 17:00:00,7,4.857142857142857,1.6761634196950517,5
M1,ST1,2025-01-03 19:00:00,9,5.555555555555555,1.0137937550497031,3
M1,ST1,2025-01-03 20:00:00,42,5.571428571428571,0.8006965608633508,3
M1,ST1,2025-01-03 21:00:00,32,5.4375,1.0757592967370206,6
M1,ST1,2025-01-03 22:00:00,60,6.15,0.7089022308339537,2
M1,ST1,2025-01-03 23:00:00,23,6.260869565217392,1.2510864843424487,6
M1,ST1,2025-01-04 00:00:00,15,6.133333333333334,0.833809387832792,3
M1,ST1,2025-01-04 01:00:00,26,4.884615384615385,0.32581259360842113,1
M1,ST1,2025-01-04 02:00:00,32,5.71875,0.6342063874918665,2
M1,ST1,2025-01-04 03:00:00,9,6.222222222222222,0.6666666666666665,2
M1,ST1,2025-01-04 04:00:00,34,6.264705882352941,0.8981065445808167,4
M1,ST1,2025-01-04 05:00:00,25,5.76,0.9695359714832656,4
M1,ST1,2025-01-04 06:00:00,31,5.645161290322581,1.2260610940942596,6
M1,ST1,2025-01-04 07:00:00,23,5.782608695652174,0.902346523798844,4
M1,ST1,2025-01-04 08:00:00,9,6.0,1.224744871391589,4
M1,ST1,2025-01-04 09:00:00,59,5.305084745762712,0.8148246540405252,3
M1,ST1,2025-01-04 10:00:00,53,6.433962264150943,0.6936368469679924,4
M1,ST1,2025-01-04 11:00:00,25,6.16,1.1789826122551597,6
M1,ST1,2025-01-04 12:00:00,16,6.125,0.9574271077563381,3
M1,ST1,2025-01-04 13:00:00,2,3.5,3.5355339059327378,5
M1,ST1,2025-01-04 14:00:00,26,4.884615384615385,0.8638019716079874,5
M1,ST1,2025-01-04 15:00:00,51,5.1568627450980395,0.5048781642974011,2
M1,ST1,2025-01-04 16:00:00,33,6.03030303030303,0.9514741353831064,3
M1,ST1,2025-01-04 17:00:00,23,6.173913043478261,0.6503267649311159,3
M1,ST1,2025-01-04 18:00:00,20,5.8,1.5761378513048248,6
M1,ST1,2025-01-04 19:00:00,24,5.208333333333333,0.6580053301400786,3
M1,ST1,2025-01-04 20:00:00,30,5.433333333333334,0.9352607356658146,3
M1,ST1,2025-01-04 21:00:00,8,5.625,1.407885953173359,4
M1,ST1,2025-01-04 22:00:00,17,5.470588235294118,1.3284223283101428,5
M1,ST1,2025-01-04 23:00:00,17,5.9411764705882355,1.2976222599091636,5
M1,ST1,2025-01-05 00:00:00,38,4.7894736842105265,0.7035775274456967,4
M1,ST1,2025-01-05 01:00:00,41,6.487804878048781,0.5060608273474739,1
M1,ST1,2025-01-05 02:00:00,14,5.785714285714286,1.7177163475234933,6
M1,ST1,2025-01-05 03:00:00,31,5.129032258064516,1.056470081099349,3
M1,ST1,2025-01-05 04:00:00,21,4.476190476190476,0.6015852075182384,2
M1,ST1,2025-01-05 05:00:00,50,6.18,0.9189612592043082,5
M1,ST1,2025-01-05 06:00:00,11,5.454545454545454,1.916436086262016,6
